plot_name,accession_name,DM_raw,DM_gravity,DM_nirs
202109DVGN6_momi_rep2_USA5_238,USA5,38.89,33.9,39.2
202109DVGN6_momi_rep2_VEN128_192,VEN128,32.66,29.8,32.4
202109DVGN6_momi_rep2_VEN208_221,VEN208,38.89,34.4,37.7
202109DVGN6_momi_rep2_VEN25_190,VEN25,34.85,35.2,34.7
202109DVGN6_momi_rep2_VEN312_265,VEN312,43.11,37.3,40.8
202206DVGN6_ciat_rep1_ARG55_85,ARG55,42.09502044,43.08094832,41.3875656
202206DVGN6_ciat_rep1_ARG62_13,ARG62,42.24624967,38.08865894,40.400177
202206DVGN6_ciat_rep1_ARG65_126,ARG65,34.87623222,40.22507356,36.9319458
202206DVGN6_ciat_rep1_ARG67_166,ARG67,41.36635108,39.38615063,39.7163353
202206DVGN6_ciat_rep1_ARG74_164,ARG74,42.35247973,37.63076581,40.8085365
202206DVGN6_ciat_rep1_ARG97_132,ARG97,40.68987422,37.07668785,39.7751503
202206DVGN6_ciat_rep1_BOL1_150,BOL1,33.50117908,36.73007791,35.250248
202206DVGN6_ciat_rep1_BRA1001_24,BRA1001,42.29768543,40.34184397,42.0670128
202206DVGN6_ciat_rep1_BRA1022_141,BRA1022,40.00750814,38.90822868,40.4347649
202206DVGN6_ciat_rep1_BRA108_140,BRA108,NA,36.65507177,NA
202206DVGN6_ciat_rep1_BRA1081_95,BRA1081,39.06131224,42.1542623,39.9133186
202206DVGN6_ciat_rep1_BRA1132_31,BRA1132,38.40973166,36.50421024,38.8042374
202206DVGN6_ciat_rep1_BRA1139_42,BRA1139,38.33464761,39.08396919,38.4306412
202206DVGN6_ciat_rep1_BRA1143_39,BRA1143,42.76262115,39.0160262,41.6212502
202206DVGN6_ciat_rep1_BRA1177_75,BRA1177,44.92798016,36.43456704,42.3740845
202206DVGN6_ciat_rep1_BRA1243_7,BRA1243,40.48748715,39.07877238,38.341568
202206DVGN6_ciat_rep1_BRA130_37,BRA130,NA,NA,NA
202206DVGN6_ciat_rep1_BRA1310_14,BRA1310,43.19323599,36.31029116,42.111393
202206DVGN6_ciat_rep1_BRA1320_96,BRA1320,NA,44.19978512,NA
202206DVGN6_ciat_rep1_BRA134_80,BRA134,44.11802022,38.5243167,42.5023575
202206DVGN6_ciat_rep1_BRA136_32,BRA136,29.70805161,34.60553506,33.7257996
202206DVGN6_ciat_rep1_BRA1410_53,BRA1410,41.82252333,39.94233361,42.1068344
202206DVGN6_ciat_rep1_BRA1412_99,BRA1412,41.36265607,42.73913295,42.6856003
202206DVGN6_ciat_rep1_BRA144_178,BRA144,36.39433678,32.79390706,36.8369751
202206DVGN6_ciat_rep1_BRA147_92,BRA147,41.75825946,40.43541583,41.0658264
202206DVGN6_ciat_rep1_BRA162_117,BRA162,NA,32.46073512,NA
202206DVGN6_ciat_rep1_BRA163_69,BRA163,40.45435438,39.56779687,40.8050613
202206DVGN6_ciat_rep1_BRA172_90,BRA172,41.44535968,35.37862863,40.4353523
202206DVGN6_ciat_rep1_BRA190_123,BRA190,40.10393829,37.36570173,40.0205193
202206DVGN6_ciat_rep1_BRA1A_98,BRA1A,NA,32.24515419,NA
202206DVGN6_ciat_rep1_BRA222_130,BRA222,34.89000989,32.15868217,35.9443321
202206DVGN6_ciat_rep1_BRA223_121,BRA223,40.59444737,54.66451484,40.877636
202206DVGN6_ciat_rep1_BRA253_160,BRA253,36.00220225,34.69390452,35.755146
202206DVGN6_ciat_rep1_BRA254_149,BRA254,30.60800956,32.29752128,31.918869
202206DVGN6_ciat_rep1_BRA327_137,BRA327,37.97235158,39.82137097,37.6702843
202206DVGN6_ciat_rep1_BRA334_172,BRA334,42.45378391,35.74335013,40.5252724
202206DVGN6_ciat_rep1_BRA335_86,BRA335,40.99760761,39.20893525,39.9129028
202206DVGN6_ciat_rep1_BRA354_139,BRA354,22.1954141,24.93383497,25.7435493
202206DVGN6_ciat_rep1_BRA467_60,BRA467,36.814703,37.90832427,38.0773163
202206DVGN6_ciat_rep1_BRA486_45,BRA486,36.14302922,28.43333333,37.0287285
202206DVGN6_ciat_rep1_BRA512_56,BRA512,41.09227616,39.31207367,42.2684937
202206DVGN6_ciat_rep1_BRA538_145,BRA538,39.27518891,40.17962255,39.9928932
202206DVGN6_ciat_rep1_BRA563_103,BRA563,38.44011915,39.11434996,41.0505486
202206DVGN6_ciat_rep1_BRA707_48,BRA707,37.73012051,34.18348083,38.8176041
202206DVGN6_ciat_rep1_BRA71_173,BRA71,43.56451759,37.58231152,41.6258392
202206DVGN6_ciat_rep1_BRA787_6,BRA787,NA,NA,NA
202206DVGN6_ciat_rep1_BRA803_93,BRA803,36.34637028,37.42010309,37.316925
202206DVGN6_ciat_rep1_BRA872_70,BRA872,26.69617252,29.23640291,28.8464012
202206DVGN6_ciat_rep1_BRA890_81,BRA890,36.24613002,38.16753927,39.0406609
202206DVGN6_ciat_rep1_BRA894_152,BRA894,36.6411617,38.62450644,36.259819
202206DVGN6_ciat_rep1_BRA899_23,BRA899,41.54969338,39.3111329,40.9952583
202206DVGN6_ciat_rep1_BRA93_128,BRA93,37.46932895,35.36003642,38.8565445
202206DVGN6_ciat_rep1_BRA974_64,BRA974,39.89518279,35.91709022,39.9807777
202206DVGN6_ciat_rep1_BRA997_55,BRA997,36.4156603,35.49930748,38.009285
202206DVGN6_ciat_rep1_CG1141-1_5,CG1141-1_is_Costena,40.39056407,30.5076324,40.7998734
202206DVGN6_ciat_rep1_CM4919-1_16,CM4919-1_is_Veronica,37.03214786,39.00513878,36.8035469
202206DVGN6_ciat_rep1_COL1030_40,COL1030,34.64430905,32.43394584,34.8589935
202206DVGN6_ciat_rep1_COL113_154,COL113,35.27439221,37.82141645,36.8643265
202206DVGN6_ciat_rep1_COL1185_58,COL1185,36.15388288,31.19575807,38.78479
202206DVGN6_ciat_rep1_COL1292_72,COL1292,41.8323833,34.84161704,39.1121368
202206DVGN6_ciat_rep1_COL1326_148,COL1326,24.91470819,28.59235111,29.1046104
202206DVGN6_ciat_rep1_COL1357_22,COL1357,39.11086173,40.91365272,38.5580444
202206DVGN6_ciat_rep1_COL1389_163,COL1389,39.55043524,35.17632613,37.7340431
202206DVGN6_ciat_rep1_COL1398_156,COL1398,39.52359466,35.05821355,39.855957
202206DVGN6_ciat_rep1_COL1489_136,COL1489,34.76057067,32.22218824,35.701313
202206DVGN6_ciat_rep1_COL1490_170,COL1490,33.47301028,35.63613322,33.982975
202206DVGN6_ciat_rep1_COL1516_158,COL1516,35.43374655,35.77022472,36.6561203
202206DVGN6_ciat_rep1_COL1517_176,COL1517,NA,NA,NA
202206DVGN6_ciat_rep1_COL1535_135,COL1535,41.21255829,40.09624397,41.0259552
202206DVGN6_ciat_rep1_COL1722_107,COL1722,41.52726248,42.52575058,43.5672073
202206DVGN6_ciat_rep1_COL1734_182,COL1734,41.32268303,40.16286486,40.9223747
202206DVGN6_ciat_rep1_COL1752_169,COL1752,NA,NA,NA
202206DVGN6_ciat_rep1_COL1786_50,COL1786,39.36019019,33.35351053,40.9642258
