Finca,Descripcion,K_USLE,pH,C_Oxid,MO,P.BrayII,Ca,Mg,K,CIC,Fe,Mn,Cu,Zn,B,S,CE,N_Total,D_APAREN,D_REAL,POROSIDAD,Macroporos,Mesoporos,Microporos,Hum_campo,Hum_grav_Sat,Hum_vol_Sat,C.C,PMP,CHS,Infiltracion,LAA,X_.6.3.mm,X_6.4mm,X_4.2mm,X_2.1mm,X_1.0.5mm,X_0.5.0.25mm,X_0.25.0.125mm,X_.0.125mm,Est_agre_sin_arenas,Arcilla,Limo,Arena,Ind_plast,MO.75um,MO.53um,MO.53um.1
Finca6,ALF013,0.180597686,4.98,1.771,4.115,0.24,1.72,1.17,0.11,13.73,10.87,15.25,1.625,0.331,0.59,41.28,0.256,903,1.072510048,2.569862809,58.26586369,20.14412651,4.034275783,34.0874614,28.87679987,55.0396376,59.03056436,38.12173718,34.0874614,1.215629594,1.927912559,4.326801313,9.316857076,18.89251574,26.46770809,23.21053859,14.6514339,4.66309163,1.695033807,1.10282117,2.15,65.32,30.59,4.09,31.48,31.33,28.68,28.64
Finca6,ALF014,0.211307954,5.45,2.885,6.702,14.14,4.36,2.03,0.53,21.31,13.82,115.5,1.279,2.126,0.596,27.71,1.272,1972.2,1.095792999,2.558748572,57.17465126,14.53804658,4.729110252,37.90749443,33.60836304,54.73024392,59.97301813,42.63660468,37.90749443,0.198032979,0.317090881,5.182125907,11.25719136,17.8242007,24.89767047,20.93841366,14.76091672,6.50853532,2.582288032,1.23078374,2.83,58.65,34.97,6.38,23.31,32.22,31.45,33.84
Finca6,ALF015,0.181242537,4.05,1.402,3.257,0.53,0.76,0.47,0.29,14.42,33.41,4.537,0.857,0.653,0.726,0,0.406,695.8,1.054051153,2.548875896,58.64643097,21.29046039,4.05819961,33.29777097,31.80559828,56.09556034,59.12759006,37.35597058,33.29777097,2.304062111,3.678254224,4.277549978,16.5875136,22.08271495,24.02988028,18.48817651,11.8779064,4.411793806,1.649351934,0.872662511,2.21,59.09,33.64,7.27,24.89,29.18,28.2,29.41
Finca6,ALF016,0.326628266,4.26,1.238,2.876,2.86,0.39,0.47,0.08,14.54,21.89,149.8,2.589,0.359,0.042,27.26,0.843,837.9,1.089334217,2.672523962,59.23949672,18.98227723,5.996568747,34.26065074,35.22800319,51.98200129,56.62577268,40.25721949,34.26065074,2.376395742,3.805090577,6.532267522,8.838251774,15.9345038,23.23371934,21.16174823,17.167227,8.113559955,3.512638526,2.038351388,2.46,41.48,50.08,8.44,26.8,24.18,23.27,22.97
Finca6,ALF017,0.226519252,4.57,2.091,4.858,6.08,1.6,1.01,0.27,16,32.8,24.58,1.183,1.792,1.543,59.15,0.627,1565.2,0.9684458,2.525904047,61.65943831,25.65607106,3.075958959,32.92740828,33.07549371,59.24117367,57.37186581,36.00336724,32.92740828,0.199359119,0.317090881,2.978899533,19.29360657,21.9992445,24.21097365,16.92605534,9.957503069,4.217584286,2.210784777,1.184247804,2.61,59.82,33.5,6.68,24.42,31.38,29.29,31.76
Finca6,ALF018,0.090904433,4.14,2.024,4.701,2.98,0.32,0.41,0.27,16.04,47.66,36.15,0.877,1.899,1.162,0,0.646,1579.3,0.995681558,2.62446198,62.06149812,19.62013223,4.092458073,38.34890782,40.82696888,60.53830993,60.27687872,42.44136589,38.34890782,70.78302923,113.4234083,4.074785028,15.70864685,20.24670038,22.30048107,18.88614777,13.12199334,5.970149254,2.621191563,1.144689774,2.35,61.71,32.35,5.94,23.58,27.2,25.87,22.99
Finca7,GUI001,0.131148067,4.82,4.283,9.95,17.51,2.59,0.28,0.69,27.88,5.963,10.83,0.21,4.852,0.648,93.47,0.293,4003.8,0.750987035,2.252425222,66.6587362,21.80848439,5.729269208,39.1209826,59.48695652,92.73043478,69.6393543,44.85025181,39.1209826,4.326885698,6.975999391,4.302606897,10.37371134,18.4977517,31.86828252,20.34300285,11.31964247,3.590425532,1.843880237,2.163303356,3.21,46.08,48.37,5.55,16.18,49.63,45.73,48.69
Finca7,GUI002,0.098321923,5.02,4.025,9.351,5.43,2.32,0.25,0.32,26.2,2.728,7.507,0.118,1.536,0.372,97.74,0.204,3482.6,0.884971637,2.268280035,60.98490381,21.30633237,4.417676742,35.2608947,43.67776521,70.25525009,62.1739037,39.67857144,35.2608947,17.36953384,27.58690668,3.909518619,6.704288042,11.69706845,22.33173045,22.85498549,19.68233782,8.270079084,4.266846825,4.192663832,1.38,39.25,53.95,6.8,12.86,52.49,48.9,52.52
Finca7,GUI003,0.150760324,4.75,4.205,9.768,3.84,1.6,0.13,0.43,33.65,2.407,8.427,0.106,0.462,0.815,71.7,0.592,3356.5,0.633440999,2.288108313,72.31595222,18.32834232,5.056591832,48.93101807,84.54026246,113.6373545,71.98255931,53.9876099,48.93101807,10.06964907,15.98138042,3.20305258,3.692022263,8.85783859,17.94758813,20.23075139,21.15375696,13.09137291,7.6716141,7.355055659,0.55,26.58,62.08,11.35,13.42,51.93,50.14,52.54
Finca7,GUI004,0.171751531,5.15,4.014,9.326,1.88,1.96,0.48,0.46,31.37,1.457,5.324,0.149,0.779,0.525,74.61,0.576,3501.4,0.593289626,2.352682414,74.78241762,27.15973161,5.568288365,42.05439765,80.73831709,121.8436589,72.28857877,47.62268601,42.05439765,8.98424164,14.26908966,3.30360772,7.334825234,15.93670077,25.43265132,18.28005115,15.37297528,8.95140665,5.15771526,3.533674339,3.26,27.3,64.31,8.38,8.23,54.93,52.5,52.56
